fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9929078014184397,0.9743589743589743,1.0,0.987012987012987,0.9994890137966275,0.998632715391718
2,0.9787234042553191,1.0,0.9210526315789473,0.958904109589041,1.0,0.9999999999999999
3,0.9574468085106383,0.8809523809523809,0.9736842105263158,0.925,0.9969340827797649,0.9916595819045717
4,0.9645390070921985,0.9459459459459459,0.9210526315789473,0.9333333333333333,0.9984670413898824,0.9959496413097519
5,0.9928571428571429,0.9736842105263158,1.0,0.9866666666666667,1.0,0.9999999999999998
