fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.864406779661017,0.7941176470588235,0.9642857142857143,0.8709677419354839,0.9873271889400921,0.9878430682617874
2,0.9661016949152542,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9988505747126437,0.9988505747126436
3,0.9827586206896551,1.0,0.9642857142857143,0.9818181818181818,1.0,1.0
4,0.9827586206896551,1.0,0.9642857142857143,0.9818181818181818,1.0,1.0
5,0.9655172413793104,0.9333333333333333,1.0,0.9655172413793104,0.9940476190476191,0.9936471597185883
