fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.5084745762711864,0.4827586206896552,0.5,0.49122807017543857,0.5414746543778802,0.5403716752321026
2,0.4745762711864407,0.4722222222222222,0.5862068965517241,0.5230769230769231,0.47471264367816096,0.47959368027495175
3,0.603448275862069,0.5925925925925926,0.5714285714285714,0.5818181818181818,0.6309523809523809,0.6171372973993152
4,0.5344827586206896,0.52,0.4642857142857143,0.49056603773584906,0.5726190476190476,0.5748627177888124
5,0.46551724137931033,0.42857142857142855,0.32142857142857145,0.3673469387755102,0.4589285714285714,0.47530934989682305
