fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.7021276595744681,0.25,0.05263157894736842,0.08695652173913043,0.49591211037301997,0.28012577314309234
2,0.7021276595744681,0.35714285714285715,0.13157894736842105,0.19230769230769232,0.5546755237608585,0.3054949541306139
3,0.7021276595744681,0.25,0.05263157894736842,0.08695652173913043,0.5385794583546244,0.2883879966784185
4,0.6879432624113475,0.2857142857142857,0.10526315789473684,0.15384615384615385,0.48518140010219724,0.31584130368198693
5,0.7142857142857143,0.36363636363636365,0.10810810810810811,0.16666666666666666,0.5292574127525583,0.3107385340571347
