fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9716312056737588,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9961676034747062,0.9899689832836117
2,0.9361702127659575,1.0,0.7631578947368421,0.8656716417910447,0.9933571793561574,0.9818423374703106
3,0.9645390070921985,0.9230769230769231,0.9473684210526315,0.935064935064935,0.9931016862544711,0.983183596438802
4,0.9574468085106383,0.9705882352941176,0.868421052631579,0.9166666666666666,0.9971895758814512,0.9927322288362082
5,0.9285714285714286,0.8292682926829268,0.918918918918919,0.8717948717948718,0.9889792705326687,0.9734092358450508
