fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.6666666666666666,0.23529411764705882,0.10526315789473684,0.14545454545454545,0.5081757792539601,0.27722588740823406
2,0.6170212765957447,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.4713847726111395,0.26699073774316273
3,0.6312056737588653,0.28125,0.23684210526315788,0.2571428571428571,0.50613183444047,0.2758967442118434
4,0.624113475177305,0.14285714285714285,0.07894736842105263,0.1016949152542373,0.4846704138988247,0.26372248106263985
5,0.6785714285714286,0.35714285714285715,0.2702702702702703,0.3076923076923077,0.6119128837575439,0.38326285148885475
