fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9661016949152542,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9850230414746544,0.9880102040816326
2,0.9491525423728814,1.0,0.896551724137931,0.9454545454545454,0.9862068965517241,0.9893281807372175
3,0.9655172413793104,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9988095238095238,0.9987684729064039
4,0.9655172413793104,1.0,0.9285714285714286,0.9629629629629629,0.9952380952380953,0.9955357142857143
5,0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9880952380952381,0.9877758271767488
