fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.559322033898305,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.49884792626728114,0.5114673535128504
2,0.4745762711864407,0.46153846153846156,0.41379310344827586,0.43636363636363634,0.44942528735632187,0.4594162323031505
3,0.6206896551724138,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6392857142857143,0.6287833152340176
4,0.5344827586206896,0.5161290322580645,0.5714285714285714,0.5423728813559322,0.5964285714285713,0.615470806144725
5,0.4482758620689655,0.4166666666666667,0.35714285714285715,0.38461538461538464,0.4267857142857143,0.49142321107209486
