fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.5254237288135594,0.5,0.39285714285714285,0.44,0.478110599078341,0.49370421635332196
2,0.4915254237288136,0.48148148148148145,0.4482758620689655,0.4642857142857143,0.4982758620689655,0.5248857324933678
3,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5910714285714286,0.5360481995682176
4,0.5172413793103449,0.5,0.5357142857142857,0.5172413793103449,0.5773809523809523,0.5803001044274161
5,0.5344827586206896,0.5263157894736842,0.35714285714285715,0.425531914893617,0.5535714285714286,0.6055950672211414
