fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.8983050847457628,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9648617511520737,0.9659002065738574
2,0.9322033898305084,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9919540229885058,0.9916415290720071
3,0.9655172413793104,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9976190476190476,0.9976190476190476
4,0.9137931034482759,0.96,0.8571428571428571,0.9056603773584906,0.9791666666666667,0.9797965650906827
5,0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9785714285714286,0.9793420074122838
