fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.6808510638297872,0.0,0.0,0.0,0.4878640776699029,0.2669156911867984
2,0.6950354609929078,0.0,0.0,0.0,0.44787940725600406,0.24404869560319856
3,0.7021276595744681,0.16666666666666666,0.02631578947368421,0.045454545454545456,0.48083801737353093,0.2575790877524546
4,0.6808510638297872,0.1111111111111111,0.02631578947368421,0.0425531914893617,0.4512008175779254,0.24226760213608972
5,0.7071428571428572,0.25,0.05405405405405406,0.08888888888888889,0.4973760167934926,0.2927816553180839
