fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9787234042553191,0.972972972972973,0.9473684210526315,0.96,0.9974450689831375,0.9929593733848812
2,0.9645390070921985,1.0,0.868421052631579,0.9295774647887324,0.9969340827797649,0.992362793678583
3,0.9290780141843972,0.85,0.8947368421052632,0.8717948717948718,0.985947879407256,0.9654395629860305
4,0.950354609929078,0.9696969696969697,0.8421052631578947,0.9014084507042254,0.9939959121103731,0.9841132083750713
5,0.9428571428571428,0.967741935483871,0.8108108108108109,0.8823529411764706,0.9930464445027553,0.9824833237302653
