fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.7021276595744681,0.16666666666666666,0.02631578947368421,0.045454545454545456,0.5242718446601942,0.28342083149567815
2,0.7304964539007093,0.5,0.07894736842105263,0.13636363636363635,0.5587634133878385,0.3557946151984148
3,0.723404255319149,0.0,0.0,0.0,0.5194174757281553,0.2882111446114044
4,0.723404255319149,0.0,0.0,0.0,0.512008175779254,0.2994357011434727
5,0.7142857142857143,0.2857142857142857,0.05405405405405406,0.09090909090909091,0.5116767252689582,0.3046385469495762
