fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.5254237288135594,0.5,0.42857142857142855,0.46153846153846156,0.4919354838709677,0.5078450175760907
2,0.4915254237288136,0.4857142857142857,0.5862068965517241,0.53125,0.45747126436781604,0.4586437260774196
3,0.5689655172413793,0.5454545454545454,0.6428571428571429,0.5901639344262295,0.5797619047619048,0.5689122810410897
4,0.43103448275862066,0.4,0.35714285714285715,0.37735849056603776,0.5023809523809524,0.5157346601439968
5,0.4827586206896552,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.47202380952380957,0.47413925025307213
