fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9929078014184397,0.9743589743589743,1.0,0.987012987012987,1.0,0.9999999999999999
2,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
3,0.9858156028368794,0.95,1.0,0.9743589743589743,0.9997445068983137,0.9993252361673414
4,0.9929078014184397,1.0,0.9736842105263158,0.9866666666666667,1.0,0.9999999999999999
5,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
