fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9787234042553191,0.926829268292683,1.0,0.9620253164556962,0.9987225344915688,0.9966234453076557
2,0.9645390070921985,0.9714285714285714,0.8947368421052632,0.9315068493150684,0.9961676034747062,0.9901126067451841
3,0.9148936170212766,0.782608695652174,0.9473684210526315,0.8571428571428571,0.985947879407256,0.9654883072381476
4,0.950354609929078,0.918918918918919,0.8947368421052632,0.9066666666666666,0.9938681655595298,0.985198053445425
5,0.9642857142857143,0.9444444444444444,0.918918918918919,0.9315068493150684,0.9939648386250328,0.9858325167587989
