fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.5084745762711864,0.4782608695652174,0.39285714285714285,0.43137254901960786,0.4896313364055299,0.5344553021924928
2,0.576271186440678,0.5666666666666667,0.5862068965517241,0.576271186440678,0.5839080459770115,0.5441879746360402
3,0.6896551724137931,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.644047619047619,0.582263450762155
4,0.46551724137931033,0.45161290322580644,0.5,0.4745762711864407,0.5333333333333333,0.5571186093139685
5,0.5,0.48,0.42857142857142855,0.4528301886792453,0.5446428571428571,0.5749129825739626
