fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.6312056737588653,0.15,0.07894736842105263,0.10344827586206896,0.5263157894736842,0.27319345330166345
2,0.6453900709219859,0.22727272727272727,0.13157894736842105,0.16666666666666666,0.47904956566172713,0.2630657736819745
3,0.6595744680851063,0.3076923076923077,0.21052631578947367,0.25,0.5227388860500767,0.27631394153897004
4,0.6099290780141844,0.13043478260869565,0.07894736842105263,0.09836065573770492,0.4885028104241185,0.2631680124351808
5,0.6928571428571428,0.3125,0.13513513513513514,0.18867924528301888,0.5484124901600629,0.3277914335308579
