fold,accuracy,precision,recall,f1,roc_auc,pr_auc
1,0.9152542372881356,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9711981566820277,0.9731723173140224
2,0.9491525423728814,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.993103448275862,0.9929677890189569
3,0.9482758620689655,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.9952380952380953,0.9951559934318555
4,0.9137931034482759,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.986904761904762,0.9873227347365279
5,0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9833333333333333,0.9836726699226699
